country,incidence,vaccine_rate,disease
Albania,0,0.92,Tetanus
Andorra,0,0.96,Tetanus
Belarus,0,0.93,Tetanus
Bosnia and Herzegovina,0,0.73,Tetanus
Bulgaria,0,0.97,Tetanus
Croatia,0,0.90,Tetanus
Czechia,2,0.95,Tetanus
Denmark,0,0.97,Tetanus
Estonia,0,0.93,Tetanus
Finland,0,0.91,Tetanus
France,4,0.95,Tetanus
Greece,3,0.94,Tetanus
Hungary,1,0.98,Tetanus
Iceland,0,0.99,Tetanus
Ireland,0,0.94,Tetanus
Italy,21,0.93,Tetanus
Latvia,0,0.95,Tetanus
Lithuania,0,0.87,Tetanus
Luxembourg,0,0.98,Tetanus
Malta,0,0.98,Tetanus
Montenegro,0,0.80,Tetanus
Netherlands,2,0.95,Tetanus
North Macedonia,0,0.84,Tetanus
Norway,0,0.94,Tetanus
Poland,5,0.92,Tetanus
Portugal,0,0.95,Tetanus
Russian Federation,11,0.97,Tetanus
San Marino,0,0.92,Tetanus
Serbia,1,0.93,Tetanus
Slovakia,0,0.95,Tetanus
Slovenia,4,0.89,Tetanus
Spain,4,0.93,Tetanus
Sweden,0,0.94,Tetanus
Ukraine,0,0.63,Tetanus
United Kingdom of Great Britain and Northern Ireland,4,0.95,Tetanus
Albania,1,0.97,Measles
Andorra,0,0.99,Measles
Austria,1,0.95,Measles
Belarus,0,0.94,Measles
Belgium,8,0.96,Measles
Bosnia and Herzegovina,6,0.50,Measles
Bulgaria,1,0.95,Measles
Croatia,0,0.86,Measles
Czechia,0,0.95,Measles
Denmark,0,0.92,Measles
Estonia,0,0.91,Measles
Finland,0,0.93,Measles
France,15,0.90,Measles
Germany,15,0.92,Measles
Greece,0,0.94,Measles
Hungary,0,0.92,Measles
Iceland,0,0.90,Measles
Ireland,2,0.90,Measles
Italy,15,0.95,Measles
Latvia,0,0.90,Measles
Luxembourg,0,0.95,Measles
Malta,0,0.98,Measles
Montenegro,0,0.49,Measles
Netherlands,6,0.94,Measles
North Macedonia,0,0.73,Measles
Norway,1,0.95,Measles
Poland,27,0.93,Measles
Portugal,0,0.86,Measles
Romania,17,0.83,Measles
Russian Federation,102,0.85,Measles
San Marino,0,0.93,Measles
Serbia,0,0.75,Measles
Slovakia,0,0.94,Measles
Slovenia,0,0.95,Measles
Spain,1,0.95,Measles
Sweden,5,0.92,Measles
Switzerland,1,0.94,Measles
Ukraine,11,0.53,Measles
United Kingdom of Great Britain and Northern Ireland,63,0.89,Measles
Austria,78489,0.95,Hepatitis B
Belgium,194654,0.97,Hepatitis B
Croatia,926,0.95,Hepatitis B
Denmark,5999,0.97,Hepatitis B
Estonia,450,0.95,Hepatitis B
Finland,21017,0.99,Hepatitis B
Germany,13864121,0.90,Hepatitis B
Iceland,211,0.96,Hepatitis B
Ireland,24982,0.94,Hepatitis B
Italy,54145,0.95,Hepatitis B
Latvia,3660,0.94,Hepatitis B
Luxembourg,1835,0.95,Hepatitis B
Malta,278,0.99,Hepatitis B
Netherlands,159700,0.90,Hepatitis B
Norway,19744,0.96,Hepatitis B
Poland,960709,0.90,Hepatitis B
Portugal,16271,0.99,Hepatitis B
Romania,354428,0.89,Hepatitis B
Slovenia,2562,0.89,Hepatitis B
Sweden,85647,0.95,Hepatitis B
