country,incidence,vaccine_rate,disease
Andorra,0,0.98,Tetanus
Belarus,0,0.98,Tetanus
Bosnia and Herzegovina,0,0.78,Tetanus
Bulgaria,4,0.92,Tetanus
Croatia,0,0.93,Tetanus
Czechia,1,0.96,Tetanus
Estonia,0,0.93,Tetanus
France,4,0.96,Tetanus
Greece,3,0.99,Tetanus
Hungary,5,0.99,Tetanus
Iceland,0,0.91,Tetanus
Ireland,0,0.95,Tetanus
Latvia,0,0.98,Tetanus
Lithuania,2,0.94,Tetanus
Luxembourg,0,0.99,Tetanus
Malta,0,0.97,Tetanus
Montenegro,0,0.89,Tetanus
Netherlands,1,0.95,Tetanus
Norway,0,0.96,Tetanus
Poland,12,0.98,Tetanus
Portugal,1,0.98,Tetanus
Romania,14,0.89,Tetanus
Russian Federation,18,0.97,Tetanus
San Marino,0,0.86,Tetanus
Serbia,4,0.92,Tetanus
Slovakia,0,0.96,Tetanus
Slovenia,2,0.94,Tetanus
Spain,10,0.97,Tetanus
Sweden,3,0.98,Tetanus
Ukraine,10,0.19,Tetanus
United Kingdom of Great Britain and Northern Ireland,4,0.94,Tetanus
Albania,17,0.96,Measles
Andorra,0,0.97,Measles
Austria,27,0.95,Measles
Belarus,10,0.98,Measles
Bosnia and Herzegovina,133,0.68,Measles
Bulgaria,1,0.92,Measles
Croatia,4,0.90,Measles
Czechia,7,0.98,Measles
Denmark,3,0.94,Measles
Estonia,2,0.93,Measles
Finland,4,0.94,Measles
France,79,0.90,Measles
Germany,326,0.97,Measles
Greece,0,0.97,Measles
Hungary,0,0.99,Measles
Iceland,1,0.91,Measles
Ireland,43,0.92,Measles
Latvia,0,0.93,Measles
Luxembourg,0,0.99,Measles
Malta,0,0.93,Measles
Montenegro,0,0.47,Measles
Netherlands,6,0.94,Measles
North Macedonia,0,0.82,Measles
Norway,0,0.96,Measles
Poland,123,0.96,Measles
Portugal,34,0.98,Measles
Romania,2435,0.86,Measles
Russian Federation,178,0.98,Measles
San Marino,0,0.82,Measles
Serbia,11,0.82,Measles
Slovakia,0,0.95,Measles
Slovenia,1,0.92,Measles
Spain,37,0.97,Measles
Sweden,3,0.97,Measles
Switzerland,65,0.94,Measles
Ukraine,102,0.42,Measles
United Kingdom of Great Britain and Northern Ireland,558,0.92,Measles
