country,year,disease,gdp_per_capita,vaccination_coverage,health_expenditure_percentage
Kazakhstan,2020,measles,10031.00,0.93,3.75
Latvia,2020,measles,26724.54,0.99,7.25
Lithuania,2020,measles,30925.26,0.90,7.48
Luxembourg,2020,measles,112955.47,0.99,5.74
Moldova,2020,measles,10816.00,0.84,7.00
Montenegro,2020,measles,18798.00,0.24,11.42
Netherlands,2020,measles,53163.28,0.94,11.21
North Macedonia,2020,measles,15554.00,0.63,7.73
Norway,2020,measles,59263.43,0.97,11.42
Poland,2020,measles,27830.93,0.80,6.50
Portugal,2020,measles,31607.76,0.99,10.55
Romania,2020,measles,24759.00,0.87,6.23
Russia,2020,measles,25491.00,0.97,7.57
San Marino,2020,measles,58433.00,0.90,8.48
Serbia,2020,measles,16183.00,0.78,8.70
Slovakia,2020,measles,29737.53,0.96,7.13
Slovenia,2020,measles,33581.83,0.94,9.43
Spain,2020,measles,37333.06,0.96,10.75
Sweden,2020,measles,50289.79,0.97,11.33
Switzerland,2020,measles,67350.74,0.97,11.73
Turkey,2020,measles,26695.91,0.95,4.62
Ukraine,2020,measles,11536.00,0.85,7.56
United Kingdom,2020,measles,44057.69,0.91,12.16
Albania,2020,tetanus,12292.00,0.98,7.52
Andorra,2020,tetanus,11580.00,0.99,8.79
Armenia,2020,tetanus,52665.09,0.91,12.24
Austria,2020,tetanus,14232.00,0.85,11.39
Azerbaijian,2020,tetanus,49830.00,0.79,5.85
Belarus,2020,tetanus,48599.20,0.97,6.41
Belgium,2020,tetanus,13001.00,0.97,11.20
Bosnia and Herzegovina,2020,tetanus,20733.00,0.73,9.70
Bulgaria,2020,tetanus,26056.00,0.91,8.48
Croatia,2020,tetanus,36627.61,0.94,7.72
Czech Republic,2020,tetanus,51814.24,0.97,9.21
Denmark,2020,tetanus,31945.12,0.97,10.56
Estonia,2020,tetanus,44934.49,0.91,7.58
Finland,2020,tetanus,42983.75,0.90,9.63
France,2020,tetanus,12964.00,0.96,12.13
Georgia,2020,tetanus,50579.48,0.88,8.43
Germany,2020,tetanus,27511.80,0.91,12.69
Greece,2020,tetanus,27941.93,0.99,9.50
Hungary,2020,tetanus,54477.41,0.99,7.29
Iceland,2020,tetanus,73170.44,0.93,9.61
Ireland,2020,tetanus,40267.22,0.94,7.11
Italy,2020,tetanus,24211.00,0.94,9.63
Kazakhstan,2020,tetanus,10031.00,0.88,3.75
Latvia,2020,tetanus,26724.54,0.99,7.25
Lithuania,2020,tetanus,30925.26,0.91,7.48
Luxembourg,2020,tetanus,112955.47,0.99,5.74
Moldova,2020,tetanus,40319.00,0.86,7.00
Montenegro,2020,tetanus,18798.00,0.84,11.42
Netherlands,2020,tetanus,53163.28,0.94,11.21
North Macedonia,2020,tetanus,15554.00,0.84,7.73
Norway,2020,tetanus,59263.43,0.97,11.42
Poland,2020,tetanus,27830.93,0.90,6.50
Portugal,2020,tetanus,31607.76,0.99,10.55
Romania,2020,tetanus,24759.00,0.87,6.23
Russia,2020,tetanus,25491.00,0.97,7.57
San Marino,2020,tetanus,58433.00,0.89,8.48
Serbia,2020,tetanus,16183.00,0.92,8.70
Slovakia,2020,tetanus,29737.53,0.97,7.13
Slovenia,2020,tetanus,33581.83,0.95,9.43
Spain,2020,tetanus,37333.06,0.94,10.75
Sweden,2020,tetanus,50289.79,0.97,11.33
Switzerland,2020,tetanus,67350.74,0.96,11.73
Turkey,2020,tetanus,26695.91,0.98,4.62
Ukraine,2020,tetanus,11536.00,0.81,7.56
United Kingdom,2020,tetanus,44057.69,0.93,12.16
Albania,2020,hepatitis,12292.00,0.98,7.52
Andorra,2020,hepatitis,11580.00,0.98,8.79
Armenia,2020,hepatitis,52665.09,0.92,12.24
Austria,2020,hepatitis,14232.00,0.85,11.39
Azerbaijian,2020,hepatitis,49830.00,0.79,5.85
Belarus,2020,hepatitis,48599.20,0.97,6.41
Belgium,2020,hepatitis,13001.00,0.97,11.20
Bosnia and Herzegovina,2020,hepatitis,20733.00,0.80,9.70
Bulgaria,2020,hepatitis,26056.00,0.91,8.48
Croatia,2020,hepatitis,36627.61,0.91,7.72
Czech Republic,2020,hepatitis,51814.24,0.96,9.21
Denmark,2020,hepatitis,31945.12,0.97,10.56
Estonia,2020,hepatitis,44934.49,0.90,7.58
Finland,2020,hepatitis,42983.75,0.96,9.63
France,2020,hepatitis,12964.00,0.91,12.13
Georgia,2020,hepatitis,50579.48,0.88,8.43
Germany,2020,hepatitis,27511.80,0.88,12.69
Greece,2020,hepatitis,27941.93,0.96,9.50
Hungary,2020,hepatitis,54477.41,0.97,7.29
Iceland,2020,hepatitis,73170.44,0.98,9.61
Ireland,2020,hepatitis,40267.22,0.94,7.11
Italy,2020,hepatitis,24211.00,0.94,9.63
Kazakhstan,2020,hepatitis,10031.00,0.88,3.75
Latvia,2020,hepatitis,26724.54,0.99,7.25
Lithuania,2020,hepatitis,30925.26,0.91,7.48
Luxembourg,2020,hepatitis,112955.47,0.96,5.74
Moldova,2020,hepatitis,10816.00,0.87,7.00
Montenegro,2020,hepatitis,18798.00,0.52,11.42
Netherlands,2020,hepatitis,53163.28,0.93,11.21
North Macedonia,2020,hepatitis,15554.00,0.84,7.73
Norway,2020,hepatitis,59263.43,0.97,11.42
Poland,2020,hepatitis,27830.93,0.90,6.50
Portugal,2020,hepatitis,31607.76,0.99,10.55
Romania,2020,hepatitis,24759.00,0.87,6.23
Russia,2020,hepatitis,25491.00,0.97,7.57
San Marino,2020,hepatitis,58433.00,0.89,8.48
Serbia,2020,hepatitis,16183.00,0.87,8.70
Slovakia,2020,hepatitis,29737.53,0.97,7.13
Slovenia,2020,hepatitis,33581.83,0.95,9.43
Spain,2020,hepatitis,37333.06,0.94,10.75
Sweden,2020,hepatitis,50289.79,0.97,11.33
Switzerland,2020,hepatitis,67350.74,0.72,11.73
Turkey,2020,hepatitis,26695.91,0.98,4.62
Ukraine,2020,hepatitis,11536.00,0.81,7.56
United Kingdom,2020,hepatitis,44057.69,0.90,12.16
